Primary,Business Domain,Data Group ,,,,
French,Finances,Finances du segment des grandes entreprises,Rémunération incitative des cadres supérieurs (programme de reconnaissance， PE),Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Services commerciaux de l’entreprise,Paiements à l’échelle mondiale et services financiers internationaux,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Crédit et débit – Numéro de compte principal， numéro d’acheminement,Hautement sensibles,Renseignements personnels,Mondiale
French,Finances,Informations financières,Clés de chiffrement ou autres méthodes confidentielles de chiffrement données ICP,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Données ICP chiffrées,Hautement sensibles,Renseignements personnels,Mondiale
French,Finances,Informations financières,Données complètes (données sur bande magnétique ou l’équivalent sur une puce),Hautement sensibles,Renseignements personnels,Mondiale
French,Finances,Informations financières,Numéro de compte principal de carte-cadeau comportant les logos Visa， Mastercard， Discover， Amex， JCB ,Hautement sensibles,Renseignements personnels,Mondiale
French,Finances,Informations financières,Clé(s) utilisée(s) pour chiffrer des clés privées ou d’autres secrets qui protègent les données ICP,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Mots de passe ou autres facteurs d’authentification utilisés pour accéder aux composants du système PCI,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,NIP， blocages de NIP,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Comptes fournisseurs,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Comptes clients ,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Rajustements,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Opérations bancaires,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Immobilisations et baux,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Établissement du budget des investissements,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Recouvrements et redressements,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Commissions ou revenus de tiers,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Revenus reportés,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Dépréciation et amortissement,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Cession et perte de valeur,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Revenus,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Bénéfices rendus publics,Non sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Taux de change actuel,Non sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Rapports et états financiers,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Services financiers – Transferts de fonds， mandats bancaires， encaissement de chèques， cartes-cadeaux,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Grand livre général,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Cours à terme,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Plan comptable mondial publié,Sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Transactions intersociétés,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Factures (GFR),Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Factures (GNFR),Sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Entrées au journal,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Entités juridiques,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Passif et dette,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Emplacement et centre de profit et de coûts,Sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Dépenses d’exploitation,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Unités opérationnelles et secteurs d’activité,Sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Paiements et décaissements,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Mode de paiement et paiements (espèces， cartes de crédit， WIC， etc.),Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Partenaires commerciaux ou d’affaires,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Trésorerie,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Retours,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Données financières sensibles qui n’ont pas été rendues publiques et qui ne peuvent pas être agrégées pour afficher le rendement global de l’entreprise avant la publication des résultats,Sensibles,Renseignements commerciaux,Mondiale
French,Finances,Informations financières,Données financières (p. ex. solde du compte， paiement， historique en matière de découverts et achats par carte de crédit ou de débit),Sensibles,Renseignements personnels,Afrique du Sud
French,Finances,Informations financières,Autre numéro de compte non mentionné précédemment,Sensibles,Renseignements personnels,Afrique du Sud
French,Finances,Impôt général,Obligation en matière d’impôt (p. ex. impôt fédéral， impôt international， etc.),Non sensibles,Renseignements commerciaux,Mondiale
French,Finances,Impôt général,Obligation en matière d’impôt non publiée (p. ex. impôt fédéral， impôt international， etc.),Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Impôt général,Conformité à l’impôt sur le revenu d’un État,Sensibles,Renseignements commerciaux,Mondiale
French,Finances,Impôt général,Remboursements de taxe de vente et d’utilisation,Sensibles,Renseignements commerciaux,Mondiale
French,Finances,Impôt général,Taxe de vente – Planification et exploitation des succursales,Sensibles,Renseignements commerciaux,Mondiale
French,Finances,Impôt général,Contestation de vérification de la taxe de vente,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Impôt général,Conformité fiscale,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Trésorerie mondiale,Trésor mondial,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Trésorerie mondiale,Opérations de trésorerie,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Trésorerie mondiale,Marchés des capitaux,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Renseignements institutionnels,Analyses de données ou renseignements sur les données,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Renseignements institutionnels,Volumes de vente de l’entreprise， ou données par canal de vente ou par marché,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Renseignements institutionnels,Données servant à la préparation de rapports annuels ou financiers,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Renseignements institutionnels,Rapports de vérification interne,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Renseignements institutionnels,Organigrammes d’entité juridique rendus publics,Non sensibles,Renseignements commerciaux,Mondiale
French,Finances,Renseignements institutionnels,Organigrammes d’entité juridique internes,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Relations avec les investisseurs,Relations avec les investisseurs et le public,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Relations avec les investisseurs,Rapports trimestriels,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Intégration des fusions et acquisitions et planification nationale,Planification nationale,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Intégration des fusions et acquisitions et planification nationale,Intégrations,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Intégration des fusions et acquisitions et planification nationale,Politique fiscale,Sensibles,Renseignements commerciaux,Mondiale
French,Finances,Renseignements institutionnels exclusifs,Données comptables,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Renseignements institutionnels exclusifs,Fusions， acquisitions， achats， ventes， fermetures ou désinvestissements prévus ou envisagés,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Santé et bien-être,Renseignements sur l’emploi,Notes médicales et autres renseignements médicaux connexes,Hautement sensibles,Renseignements personnels,Mondiale
