Sub Division,Region,Market,Store Nbr,ACC POS$ Apr,ACC POS$ YTD,Car Count  Apr,Car Count YTD,  VIT   Apr,VIT YTD,Tire Bay Time   Apr,Tire Bay Time YTD,Oil Bay Time   Apr,Oil Bay Time YTD,Appt. Success Rate   Apr,Appt. Success Rate YTD,Other Services   Apr,Other Services YTD,Tire Units   Apr,Tire Units YTD,Oil Units   Apr,Oil Units YTD,Overall Ranking   Apr,Overall Ranking YTD
NORTH BU,"19 - Michigan, OH",202,1593,13.0%,7.7%,8.8%,7.5%,0:28:37,0:28:05,0:37:21,0:37:40,0:27:15,0:26:31,49.4%,47.6%,54.0%,-3.6%,20.3%,7.3%,9.9%,9.3%,"2,210","2,301"
NORTH BU,21 - OH/IN,219,1594,-1.0%,2.5%,11.4%,13.8%,0:14:07,0:15:51,0:33:02,0:34:07,0:30:12,0:29:00,67.9%,62.0%,35.4%,34.4%,-3.3%,-2.4%,14.4%,21.1%,"1,944","1,767"
NORTH BU,21 - OH/IN,217,1595,-4.1%,5.8%,-1.0%,0.9%,0:15:48,0:17:02,0:24:07,0:26:47,0:20:11,0:20:50,78.9%,75.6%,-41.6%,-1.9%,0.2%,7.5%,-8.2%,-2.4%,"1,378",758
SOUTHWEST BU,"44 - Oklahoma, N TX",356,1597,14.7%,4.7%,8.7%,5.4%,0:17:41,0:17:25,0:28:52,0:30:54,0:22:55,0:22:41,68.6%,69.2%,-31.8%,-28.2%,12.4%,-0.9%,22.6%,10.9%,728,"1,276"
NORTH BU,40 - Missouri,362,1599,-14.0%,-7.1%,-11.7%,-13.8%,0:17:11,0:20:09,0:32:23,0:35:43,0:31:38,0:32:35,60.4%,58.6%,-33.0%,-38.7%,-29.1%,-16.4%,-0.3%,-2.8%,"2,156","2,167"
NORTH BU,25 - Chicago / IL,275,1602,11.7%,15.2%,9.3%,10.4%,0:17:51,0:18:08,0:42:25,0:42:06,0:32:48,0:33:44,60.4%,59.6%,123.7%,256.2%,14.1%,17.8%,1.3%,7.1%,"1,820","1,376"
WEST BU,47 - Frontier,429,1604,0.3%,7.2%,-0.8%,3.7%,0:18:19,0:18:52,0:28:44,0:29:18,0:20:37,0:21:20,66.9%,65.9%,-50.1%,-51.1%,-10.1%,-1.1%,-2.6%,-3.4%,"1,111",572
SOUTHEAST BU,12 - Nashville,119,1606,-11.6%,-2.8%,-9.8%,-3.4%,0:20:00,0:18:44,0:25:42,0:28:45,0:21:28,0:22:36,54.8%,59.3%,-84.1%,-67.0%,-12.5%,-3.9%,-11.9%,1.8%,"2,164","1,852"
WEST BU,52 - MN IA,419,1609,2.0%,6.3%,3.1%,4.5%,0:08:09,0:07:57,0:36:32,0:39:15,0:26:18,0:23:56,81.9%,82.5%,-30.3%,-13.3%,-13.3%,-3.6%,8.8%,12.3%,"1,925","1,502"
NORTH BU,"19 - Michigan, OH",205,1611,9.0%,14.7%,14.4%,20.0%,0:21:13,0:22:05,0:41:24,0:44:38,0:35:05,0:35:51,76.2%,75.9%,-36.6%,3.2%,6.6%,12.7%,14.3%,12.6%,836,538
SOUTHWEST BU,46 - Phoenix,366,1612,0.0%,-2.7%,-0.6%,-3.4%,0:40:29,0:40:29,0:32:31,0:37:56,0:25:34,0:25:40,56.3%,60.4%,-29.3%,-45.7%,-8.2%,-3.0%,2.8%,0.5%,914,"1,201"
WEST BU,56 - N CA N NV,452,1615,8.5%,14.2%,27.5%,29.3%,0:07:51,0:10:32,0:31:16,0:30:05,0:23:37,0:23:56,95.0%,94.1%,9.1%,20.3%,9.6%,12.5%,35.9%,31.4%,82,14
SOUTHEAST BU,"14 - AL, FL",14,1620,-1.9%,1.8%,9.5%,8.0%,0:16:57,0:20:34,0:27:09,0:27:05,0:19:39,0:19:36,70.2%,65.7%,-15.0%,-28.6%,2.2%,1.7%,6.8%,4.6%,"1,570","1,386"
NORTH BU,"19 - Michigan, OH",213,1622,3.8%,-1.2%,1.3%,-5.4%,0:31:28,0:32:20,0:39:00,0:35:15,0:23:36,0:25:02,40.8%,38.9%,315.2%,218.9%,-2.4%,-2.8%,1.2%,-10.5%,"1,755","1,992"
EAST BU,"17 - NYC Metro, CT, RI",226,1623,18.0%,7.6%,3.5%,1.1%,0:20:58,0:19:27,0:33:02,0:34:20,0:23:00,0:23:47,54.0%,57.2%,55.1%,5.0%,21.2%,11.8%,0.9%,2.5%,145,265
WEST BU,52 - MN IA,426,1625,7.7%,16.7%,15.1%,23.6%,0:15:03,0:17:03,0:36:17,0:37:27,0:40:45,0:39:57,66.2%,63.3%,1447.2%,384.3%,1.4%,6.4%,18.6%,21.3%,"2,165","1,923"
SOUTHWEST BU,"44 - Oklahoma, N TX",352,1626,14.5%,1.5%,14.9%,8.6%,0:29:15,0:23:49,0:42:53,0:41:37,0:26:03,0:22:00,73.7%,78.6%,4.8%,-13.2%,25.2%,-1.1%,11.9%,10.4%,882,987
WEST BU,47 - Frontier,427,1627,21.7%,10.8%,67.6%,27.6%,0:23:40,0:26:52,0:36:26,0:38:17,0:27:49,0:28:14,46.5%,51.9%,330.2%,108.3%,9.0%,-7.4%,78.4%,47.8%,892,"1,292"
NORTH BU,"19 - Michigan, OH",213,1628,9.9%,-6.0%,11.1%,-1.3%,0:16:02,0:14:59,0:38:14,0:38:01,0:22:01,0:21:50,69.1%,72.4%,-8.9%,26.7%,9.1%,-8.5%,1.1%,-7.9%,"1,141","1,836"
WEST BU,52 - MN IA,412,1632,-6.3%,-3.6%,-14.0%,-7.5%,0:26:09,0:22:37,0:36:53,0:38:49,0:32:54,0:29:59,61.1%,59.5%,-57.7%,-31.2%,-9.8%,-12.3%,-0.9%,-2.1%,"2,506","2,458"
WEST BU,52 - MN IA,419,1634,9.6%,7.6%,3.3%,7.1%,0:08:09,0:09:58,0:40:20,0:41:50,0:35:12,0:33:56,98.0%,94.9%,23.7%,-11.4%,5.8%,2.1%,-2.3%,-4.8%,724,826
WEST BU,47 - Frontier,427,1636,-0.5%,10.4%,-1.7%,8.7%,0:28:54,0:25:00,0:35:16,0:32:40,0:30:27,0:29:51,50.0%,45.7%,-69.3%,-53.2%,1.8%,-2.5%,-3.3%,17.2%,"1,846","1,043"
WEST BU,47 - Frontier,432,1637,-0.3%,-5.7%,-14.8%,-27.6%,0:30:37,0:28:04,0:47:44,0:44:13,0:28:42,0:29:22,45.8%,44.7%,-30.7%,-18.4%,9.7%,0.4%,-22.2%,-35.9%,"2,395","2,455"
NORTH BU,"19 - Michigan, OH",202,1642,14.3%,24.2%,14.7%,20.8%,0:07:17,0:08:42,0:20:03,0:21:24,0:15:15,0:15:43,95.0%,91.4%,14.7%,33.5%,13.6%,22.8%,17.7%,19.0%,94,24
NORTH BU,53 - WISCONSIN,444,1643,16.0%,11.8%,18.1%,14.2%,0:15:58,0:17:37,0:23:23,0:27:51,0:34:42,0:36:55,61.0%,58.7%,-49.4%,-58.4%,27.4%,15.7%,23.1%,18.4%,738,"1,012"
EAST BU,"22 - PA, NJ",232,1644,-0.2%,0.0%,10.5%,8.2%,0:18:25,0:20:04,0:33:03,0:33:40,0:23:47,0:23:59,61.8%,60.1%,36.7%,9.6%,-2.3%,-4.0%,11.9%,6.9%,400,470
WEST BU,57 - LA Vegas HI,581,1645,-4.6%,-7.3%,-5.5%,-8.8%,0:27:29,0:32:40,0:48:29,0:50:14,0:25:18,0:26:48,47.5%,43.0%,-55.8%,-76.3%,-0.8%,-3.4%,-11.9%,-11.5%,"2,125","2,309"
NORTH BU,21 - OH/IN,248,1647,10.6%,0.1%,8.2%,7.5%,0:17:11,0:16:18,0:17:07,0:17:15,0:12:56,0:13:13,79.4%,74.4%,-3.2%,41.4%,16.6%,-2.3%,2.1%,1.9%,758,"1,078"
WEST BU,56 - N CA N NV,455,1648,-7.0%,6.8%,-8.4%,3.4%,0:05:33,0:07:22,0:28:14,0:30:59,0:23:58,0:21:31,87.9%,84.0%,-40.7%,-33.0%,-3.2%,5.7%,-0.4%,4.1%,"1,793","1,024"
EAST BU,"75 - VA, MD",312,1652,7.6%,2.1%,12.8%,10.7%,0:12:58,0:14:31,0:24:42,0:27:23,0:22:22,0:20:48,72.1%,71.9%,20.4%,9.3%,9.4%,0.8%,10.4%,7.9%,175,311
WEST BU,52 - MN IA,419,1654,20.2%,21.2%,12.7%,13.3%,0:16:53,0:14:57,0:25:42,0:29:02,0:18:39,0:18:07,81.3%,84.0%,-1.6%,-23.3%,24.0%,20.3%,9.9%,4.4%,23,26
NORTH BU,41 - Indy / KY,482,1655,3.2%,-1.0%,9.9%,10.6%,0:14:33,0:15:37,0:28:00,0:29:37,0:26:36,0:27:05,80.1%,73.6%,-76.6%,-66.6%,-9.4%,-4.6%,9.3%,8.5%,"1,090","1,403"
NORTH BU,53 - WISCONSIN,425,1657,14.0%,18.3%,18.8%,15.7%,0:14:07,0:16:02,0:46:59,0:43:52,0:28:58,0:28:01,77.1%,72.6%,167.3%,69.8%,12.6%,20.0%,21.4%,13.3%,768,661
WEST BU,57 - LA Vegas HI,448,1660,-0.6%,3.5%,2.6%,5.4%,0:25:57,0:26:07,0:39:46,0:38:38,0:21:08,0:20:51,65.7%,62.7%,-12.0%,16.9%,-3.1%,-1.2%,2.8%,5.5%,693,407
EAST BU,26 - North Carolina,304,1662,7.3%,3.8%,11.2%,1.1%,0:27:30,0:24:05,0:28:18,0:28:08,0:21:00,0:20:15,59.1%,60.6%,27.6%,7.8%,3.9%,2.2%,12.3%,1.5%,487,394
NORTH BU,21 - OH/IN,239,1665,-0.4%,3.8%,0.8%,8.9%,0:11:20,0:12:13,0:25:08,0:26:35,0:16:06,0:14:26,83.6%,79.6%,12.9%,34.3%,0.5%,-5.0%,-3.1%,7.1%,668,194
NORTH BU,21 - OH/IN,247,1667,5.5%,1.4%,-2.4%,-4.7%,0:16:31,0:17:46,0:43:10,0:41:44,0:32:25,0:32:35,71.4%,71.8%,-23.3%,-15.1%,3.1%,0.3%,-5.8%,-7.1%,"1,614","1,529"
WEST BU,47 - Frontier,432,1671,2.1%,10.0%,4.0%,7.5%,0:33:51,0:36:02,0:39:52,0:41:17,0:28:58,0:28:11,46.0%,43.9%,-28.1%,-54.8%,2.1%,4.3%,9.6%,11.1%,"1,970","1,318"
NORTH BU,53 - WISCONSIN,436,1672,19.8%,9.0%,19.8%,7.7%,0:09:40,0:08:48,0:35:10,0:35:02,0:30:56,0:30:17,93.5%,89.1%,134.5%,-33.0%,20.5%,5.5%,25.0%,7.5%,616,"1,206"
EAST BU,"76 - West NY, PA, VA & DC",192,1673,-3.6%,3.6%,1.9%,0.8%,0:08:41,0:08:22,0:20:15,0:22:59,0:21:05,0:20:46,77.0%,78.4%,-27.8%,-24.3%,-4.4%,3.3%,21.1%,17.7%,925,725
EAST BU,"76 - West NY, PA, VA & DC",280,1674,8.3%,3.0%,3.8%,2.4%,0:24:26,0:23:57,0:25:00,0:22:40,0:20:04,0:19:16,64.5%,63.9%,-37.3%,-27.2%,11.3%,2.0%,1.8%,1.1%,304,330
NORTH BU,41 - Indy / KY,254,1676,13.2%,9.6%,13.0%,10.2%,0:12:53,0:14:45,0:16:01,0:15:58,0:18:18,0:18:43,72.7%,65.1%,-55.1%,-28.6%,14.2%,11.6%,6.9%,7.8%,560,755
EAST BU,"76 - West NY, PA, VA & DC",189,1677,0.1%,25.4%,7.6%,8.5%,0:15:49,0:16:15,0:32:29,0:30:33,0:20:54,0:21:37,59.7%,62.8%,37.9%,14.7%,2.5%,32.3%,14.5%,-4.7%,"1,458",597
NORTH BU,53 - WISCONSIN,438,1679,6.6%,4.2%,6.6%,5.7%,0:08:32,0:10:03,0:17:41,0:17:40,0:21:19,0:21:28,78.0%,74.8%,-11.3%,10.5%,12.4%,-2.8%,4.0%,5.6%,578,625
EAST BU,"75 - VA, MD",288,1682,16.5%,5.4%,0.9%,5.5%,0:26:22,0:27:41,0:34:22,0:32:01,0:26:39,0:25:28,54.4%,48.2%,-22.9%,-11.7%,20.9%,14.7%,-11.2%,0.6%,"1,196","1,447"
WEST BU,47 - Frontier,430,1685,0.7%,5.1%,-4.5%,9.1%,0:16:30,0:16:34,0:27:01,0:28:00,0:21:50,0:22:27,78.8%,69.7%,7.4%,98.8%,4.2%,-1.9%,-6.3%,8.2%,"1,736","1,127"
WEST BU,54 - Rocky Mountain,403,1686,-7.7%,-3.8%,-12.8%,-5.7%,0:32:30,0:26:10,0:42:25,0:46:12,0:28:37,0:27:15,32.8%,53.5%,-23.7%,-50.1%,-11.4%,-3.7%,-10.9%,-2.1%,"2,490","2,293"
WEST BU,54 - Rocky Mountain,376,1689,17.6%,11.7%,13.3%,3.3%,0:44:57,0:41:09,0:58:21,0:54:28,0:24:34,0:25:08,32.6%,34.0%,720.0%,787.0%,5.1%,7.6%,20.5%,3.1%,"1,557","1,843"
NORTH BU,25 - Chicago / IL,275,1690,6.4%,-1.5%,11.0%,16.2%,0:12:58,0:16:12,0:29:47,0:25:57,0:22:07,0:21:42,81.7%,78.5%,262.4%,76.6%,5.0%,-9.8%,12.3%,15.9%,839,"1,048"
NORTH BU,40 - Missouri,362,1691,15.3%,10.0%,6.7%,6.6%,0:30:21,0:28:33,0:29:39,0:28:09,0:23:32,0:23:32,40.3%,41.4%,131.3%,65.4%,22.4%,8.2%,13.9%,17.8%,816,771
WEST BU,58 - S CA W AZ,445,1692,4.8%,0.9%,13.4%,5.4%,0:35:19,0:33:53,0:44:54,0:43:29,0:27:48,0:28:05,94.4%,94.7%,28.2%,21.5%,1.1%,-1.9%,10.9%,4.4%,"1,011","1,274"
WEST BU,58 - S CA W AZ,445,1693,6.4%,10.9%,20.0%,22.4%,0:18:20,0:20:43,0:36:02,0:38:17,0:26:49,0:27:19,94.6%,94.9%,46.5%,38.1%,-3.5%,4.8%,20.3%,26.2%,78,20
WEST BU,47 - Frontier,427,1695,-17.9%,-7.7%,-8.4%,-3.3%,0:04:37,0:04:25,0:26:04,0:25:44,0:20:29,0:19:13,93.3%,96.4%,-35.1%,-47.5%,-22.2%,-19.9%,7.7%,13.1%,"2,239","2,152"
EAST BU,16 - New England,183,1698,19.6%,9.0%,8.9%,10.8%,0:22:53,0:19:49,0:25:42,0:24:36,0:31:58,0:30:00,75.8%,77.1%,-43.8%,-36.5%,16.5%,3.9%,21.6%,27.3%,231,368
WEST BU,54 - Rocky Mountain,401,1699,33.9%,10.6%,14.0%,4.6%,0:16:58,0:20:21,0:44:03,0:47:33,0:32:12,0:30:42,77.0%,64.2%,25.4%,41.7%,51.8%,14.8%,8.5%,4.5%,593,"1,553"
WEST BU,56 - N CA N NV,453,1704,7.7%,-1.0%,17.4%,10.6%,0:21:17,0:21:31,0:48:00,0:42:36,0:40:51,0:39:37,59.7%,59.0%,-46.7%,-47.9%,-5.0%,-9.3%,12.3%,8.2%,"1,743","2,160"
EAST BU,"76 - West NY, PA, VA & DC",191,1705,6.7%,6.0%,17.7%,23.2%,0:13:56,0:09:37,0:41:46,0:37:17,0:32:42,0:31:43,76.8%,79.4%,-29.4%,32.2%,10.2%,0.9%,24.8%,22.8%,"1,361","1,316"
NORTH BU,"20 - VA, OH, PA, WV",208,1707,4.2%,9.4%,10.4%,4.8%,0:25:17,0:26:39,0:31:28,0:32:32,0:30:27,0:29:20,51.1%,52.1%,-43.4%,-25.1%,-4.6%,7.7%,17.5%,7.0%,"1,923","1,805"
WEST BU,54 - Rocky Mountain,401,1708,2.8%,3.1%,2.9%,5.3%,0:11:46,0:11:49,0:32:04,0:30:42,0:16:59,0:16:29,82.3%,80.9%,32.3%,12.6%,-4.8%,-4.4%,4.5%,6.6%,595,578
NORTH BU,21 - OH/IN,248,1709,11.7%,1.3%,0.0%,-3.1%,0:21:22,0:25:07,0:28:35,0:31:32,0:18:45,0:18:11,48.5%,44.7%,96.2%,18.7%,20.3%,2.8%,-0.6%,-1.9%,"1,699","2,298"
SOUTHEAST BU,11 - Memphis,140,1710,8.6%,11.4%,9.7%,14.6%,0:23:37,0:23:09,0:19:14,0:18:28,0:14:56,0:14:07,31.6%,39.6%,-20.9%,-39.5%,17.7%,17.2%,10.0%,13.5%,953,705
NORTH BU,"19 - Michigan, OH",204,1719,1.7%,3.1%,3.1%,4.3%,0:13:46,0:12:43,0:37:20,0:38:09,0:26:47,0:26:01,86.3%,85.3%,-33.9%,-38.4%,-6.3%,3.3%,2.0%,0.1%,"1,016",856
SOUTHEAST BU,02 - Atlanta GA,23,1720,12.8%,7.8%,-2.1%,5.7%,0:22:17,0:24:32,0:40:51,0:37:56,0:23:08,0:22:11,58.6%,53.5%,24.4%,25.8%,21.1%,8.0%,-13.6%,1.3%,"1,277","1,321"
WEST BU,52 - MN IA,421,1722,2.6%,5.3%,7.1%,13.3%,0:18:49,0:18:57,0:35:59,0:37:15,0:22:36,0:22:51,71.2%,68.3%,-24.8%,-5.9%,-2.5%,-0.2%,19.4%,16.4%,"1,753","1,739"
WEST BU,52 - MN IA,413,1723,-2.2%,2.2%,2.7%,-0.2%,0:23:53,0:25:18,0:39:46,0:39:37,0:24:24,0:24:46,57.7%,60.1%,28.0%,43.8%,-1.8%,-6.6%,2.3%,-0.2%,"1,891","1,681"
NORTH BU,"20 - VA, OH, PA, WV",216,1724,16.6%,11.3%,15.6%,8.3%,0:08:17,0:06:52,0:24:37,0:21:31,0:20:14,0:19:20,95.0%,91.9%,151.2%,76.0%,16.5%,14.5%,16.8%,5.5%,600,599
EAST BU,"75 - VA, MD",315,1726,-7.5%,-4.8%,-5.0%,0.8%,0:24:14,0:24:35,0:26:44,0:28:14,0:15:17,0:14:58,56.2%,54.5%,1.0%,-2.8%,-9.7%,-8.4%,4.0%,6.8%,"1,275","1,379"
NORTH BU,21 - OH/IN,246,1728,6.8%,4.7%,5.3%,5.7%,0:10:18,0:12:50,0:24:46,0:28:16,0:16:09,0:16:41,70.8%,66.4%,35.5%,25.2%,6.8%,2.7%,4.3%,6.3%,73,114
NORTH BU,"19 - Michigan, OH",203,1733,9.6%,9.0%,-9.3%,-0.1%,0:36:21,0:31:55,0:49:40,0:45:05,0:28:28,0:28:20,25.0%,43.9%,39.2%,-19.9%,20.6%,8.3%,-18.3%,-3.9%,"2,304","2,098"
NORTH BU,25 - Chicago / IL,273,1734,29.1%,18.0%,20.9%,24.8%,0:18:16,0:16:42,0:25:18,0:25:49,0:20:22,0:17:54,57.0%,61.6%,76.6%,57.4%,37.0%,20.8%,29.2%,32.0%,592,640
WEST BU,52 - MN IA,421,1738,5.8%,12.0%,18.2%,16.3%,0:23:59,0:19:03,0:50:00,0:47:34,0:35:56,0:33:09,55.3%,62.2%,-3.6%,-49.1%,10.6%,10.1%,15.4%,6.6%,"2,265","1,803"
NORTH BU,"20 - VA, OH, PA, WV",235,1739,6.1%,10.0%,12.4%,8.7%,0:17:42,0:20:21,0:26:19,0:27:37,0:21:57,0:22:11,58.4%,57.8%,-51.3%,-49.4%,1.0%,11.2%,11.0%,4.8%,847,753
NORTH BU,53 - WISCONSIN,263,1740,-0.8%,-4.2%,-5.8%,-2.0%,0:19:21,0:19:56,0:26:04,0:27:48,0:22:58,0:24:55,64.3%,65.4%,-71.6%,-58.9%,-2.0%,-8.3%,-16.6%,1.8%,"2,283","2,400"
EAST BU,"22 - PA, NJ",284,1741,4.1%,-1.0%,1.8%,3.0%,0:05:31,0:10:15,0:33:00,0:33:22,0:28:51,0:28:53,88.1%,80.4%,67.3%,58.2%,1.9%,-6.7%,3.4%,7.9%,108,277
NORTH BU,21 - OH/IN,239,1745,0.9%,8.2%,3.8%,3.9%,0:26:28,0:25:08,0:27:37,0:31:08,0:19:08,0:19:33,44.5%,48.2%,202.2%,76.8%,3.3%,9.9%,-5.8%,-2.2%,"1,899","1,030"
EAST BU,04 - South Carolina,33,1748,29.5%,14.9%,52.6%,36.0%,0:16:13,0:13:44,0:23:16,0:23:51,0:29:28,0:28:24,69.9%,72.6%,-76.7%,-77.9%,17.6%,6.6%,95.0%,63.2%,61,86
NORTH BU,21 - OH/IN,222,1750,1.5%,5.5%,-20.9%,-7.8%,0:33:00,0:28:34,0:34:29,0:34:42,0:22:38,0:24:41,32.0%,39.6%,68.8%,15.4%,11.2%,14.1%,-22.7%,-7.0%,"2,450","2,230"
WEST BU,58 - S CA W AZ,462,1756,5.0%,1.4%,20.6%,6.8%,0:23:00,0:24:44,0:55:52,0:51:19,0:27:51,0:27:13,92.2%,92.3%,-4.9%,21.2%,-1.9%,-5.2%,26.6%,10.6%,509,617
NORTH BU,21 - OH/IN,239,1758,3.4%,6.6%,-7.1%,-1.4%,0:25:26,0:29:02,0:27:36,0:33:49,0:23:00,0:23:59,54.2%,52.5%,208.5%,146.9%,8.1%,12.8%,-14.3%,-4.8%,"1,969","1,809"
EAST BU,"75 - VA, MD",288,1759,33.2%,18.1%,24.1%,11.4%,0:22:38,0:24:47,0:29:47,0:28:26,0:26:26,0:26:37,57.7%,55.2%,35.1%,183.4%,44.3%,22.6%,16.4%,1.0%,51,92
WEST BU,56 - N CA N NV,455,1760,-0.3%,6.7%,-1.8%,4.8%,0:08:52,0:10:34,0:46:55,0:47:42,0:38:02,0:36:59,88.9%,85.5%,-30.4%,-19.9%,5.9%,5.7%,1.3%,6.1%,"1,366",785
NORTH BU,40 - Missouri,341,1761,-3.1%,-12.7%,-2.3%,-12.0%,0:27:39,0:26:44,0:32:20,0:32:01,0:23:02,0:23:07,51.3%,47.6%,-77.8%,-47.9%,-12.7%,-18.6%,3.1%,-4.3%,"2,387","2,489"
EAST BU,16 - New England,157,1762,20.4%,22.4%,3.0%,15.9%,0:24:32,0:25:17,0:37:21,0:34:44,0:27:51,0:28:27,54.8%,53.3%,26.4%,-37.5%,27.6%,34.0%,-23.8%,3.1%,"1,174","1,172"
NORTH BU,"20 - VA, OH, PA, WV",311,1763,14.3%,12.0%,14.8%,14.6%,0:15:09,0:18:39,0:16:34,0:18:34,0:13:58,0:14:26,56.1%,52.4%,5.8%,2.9%,11.8%,11.9%,19.6%,15.7%,106,169
WEST BU,52 - MN IA,413,1764,17.6%,22.5%,20.0%,18.0%,0:21:35,0:22:07,0:39:23,0:42:07,0:19:42,0:22:35,77.2%,70.9%,247.5%,189.2%,18.7%,21.1%,19.6%,16.8%,88,116
EAST BU,"76 - West NY, PA, VA & DC",231,1765,7.8%,0.9%,6.5%,-0.7%,0:12:48,0:13:20,0:26:47,0:26:28,0:16:48,0:16:22,80.1%,80.5%,-26.4%,-13.9%,2.4%,-1.5%,6.1%,0.7%,470,991
EAST BU,04 - South Carolina,37,1767,1.1%,-0.5%,6.5%,3.5%,0:14:34,0:15:12,0:24:47,0:24:45,0:19:14,0:17:43,73.8%,75.3%,-20.1%,-14.7%,-6.8%,-6.7%,6.0%,5.3%,885,"1,002"
WEST BU,54 - Rocky Mountain,582,1768,3.6%,2.1%,-5.8%,-7.5%,0:27:59,0:24:40,0:41:29,0:37:32,0:24:11,0:23:45,51.4%,60.2%,-21.7%,13.9%,7.4%,9.0%,-8.9%,-10.2%,"1,415","1,130"
NORTH BU,"19 - Michigan, OH",202,1771,10.5%,10.3%,14.6%,13.0%,0:15:17,0:15:05,0:21:39,0:24:36,0:19:24,0:21:00,69.5%,73.5%,7.3%,2.4%,1.0%,8.6%,22.9%,15.0%,842,724
WEST BU,56 - N CA N NV,468,1772,13.6%,6.0%,18.4%,5.3%,0:24:14,0:23:35,0:28:50,0:29:01,0:37:34,0:36:38,54.0%,58.8%,-22.1%,-24.7%,20.1%,10.4%,15.7%,3.4%,594,"1,147"
WEST BU,60 - OR WA AK,478,1775,-6.9%,-10.3%,0.1%,-9.8%,0:12:37,0:14:44,0:28:39,0:34:52,0:24:08,0:26:31,69.7%,66.1%,-35.7%,-60.0%,-4.0%,-10.4%,0.2%,-6.6%,"1,801","2,270"
NORTH BU,53 - WISCONSIN,442,1776,3.0%,0.3%,5.0%,3.0%,0:11:36,0:12:01,0:30:47,0:32:03,0:17:03,0:17:02,79.5%,81.6%,22.3%,7.2%,9.4%,0.3%,0.8%,1.1%,"1,094","1,259"
EAST BU,"22 - PA, NJ",168,1777,-4.7%,3.8%,6.5%,20.6%,0:19:14,0:16:21,0:34:03,0:34:07,0:25:48,0:26:22,52.7%,57.6%,238.0%,182.9%,-11.4%,-2.1%,25.0%,33.1%,"1,869",932
WEST BU,47 - Frontier,381,1778,-2.5%,-1.3%,9.2%,4.6%,0:15:15,0:15:21,0:39:58,0:35:57,0:21:50,0:20:54,71.6%,74.0%,-76.4%,-72.9%,2.3%,-4.1%,15.3%,4.3%,"1,784","1,881"
NORTH BU,"20 - VA, OH, PA, WV",216,1782,5.8%,-6.3%,4.7%,-1.9%,0:31:23,0:31:23,0:32:59,0:34:52,0:16:13,0:16:36,63.2%,64.2%,-38.8%,-21.0%,-0.2%,-12.5%,13.0%,2.2%,"1,649","2,135"
NORTH BU,41 - Indy / KY,580,1783,23.0%,11.4%,19.0%,16.9%,0:31:39,0:30:13,0:42:19,0:38:10,0:25:16,0:25:06,57.3%,61.2%,3.1%,14.1%,17.7%,5.5%,23.8%,19.8%,"1,064",707
WEST BU,52 - MN IA,414,1787,14.4%,22.6%,19.2%,16.9%,0:19:34,0:20:14,0:25:21,0:29:58,0:24:41,0:27:09,48.1%,55.9%,-60.3%,-18.1%,27.4%,22.5%,23.1%,12.6%,"1,446","1,267"
EAST BU,16 - New England,183,1788,-1.9%,5.2%,-0.4%,-0.9%,0:22:05,0:17:25,0:34:48,0:34:33,0:32:53,0:34:09,61.9%,61.7%,-79.9%,-59.8%,-6.5%,4.8%,24.0%,9.1%,"2,090","1,608"
WEST BU,56 - N CA N NV,454,1789,-4.2%,0.1%,9.4%,7.2%,0:18:31,0:20:59,0:39:40,0:38:25,0:25:42,0:26:42,76.6%,70.3%,-56.5%,-44.3%,0.0%,4.9%,8.1%,10.5%,"1,211","1,050"
NORTH BU,"19 - Michigan, OH",200,1791,15.2%,9.0%,6.8%,6.5%,0:11:48,0:13:27,0:30:03,0:30:21,0:18:11,0:17:46,81.4%,84.1%,112.3%,67.4%,21.3%,5.9%,3.3%,4.8%,172,267
EAST BU,"22 - PA, NJ",237,1792,11.8%,7.6%,4.6%,3.7%,0:09:12,0:10:02,0:28:58,0:30:26,0:19:02,0:18:43,78.1%,81.7%,-36.7%,-15.0%,28.7%,16.2%,0.0%,-2.0%,355,378
EAST BU,"22 - PA, NJ",232,1794,-6.5%,0.3%,-4.0%,-6.0%,0:25:37,0:29:22,0:35:45,0:38:54,0:23:38,0:22:46,55.0%,48.3%,-33.7%,-32.9%,-3.8%,1.1%,0.3%,-2.8%,"1,951","1,999"
NORTH BU,"19 - Michigan, OH",205,1798,12.5%,0.4%,-9.9%,-9.6%,0:25:21,0:21:53,0:51:52,0:47:29,0:26:30,0:25:32,67.5%,65.4%,53.7%,0.1%,25.4%,7.0%,-19.2%,-18.0%,"1,826","2,257"
NORTH BU,53 - WISCONSIN,441,1799,7.8%,11.7%,-0.8%,1.4%,0:19:35,0:22:52,0:44:35,0:46:35,0:30:18,0:30:53,62.4%,56.7%,-66.3%,-40.5%,21.5%,11.4%,-11.6%,0.0%,"2,024","1,932"
SOUTHWEST BU,05 - Dallas,44,1801,-13.0%,-17.0%,-27.1%,-26.4%,0:56:51,0:44:53,0:39:34,0:38:28,0:31:41,0:27:46,23.1%,29.9%,-82.8%,-86.5%,-10.8%,-17.8%,-26.1%,-24.7%,"2,555","2,555"
WEST BU,47 - Frontier,411,1802,15.7%,11.7%,12.7%,5.6%,0:23:35,0:23:28,0:46:30,0:42:44,0:36:07,0:31:13,54.5%,53.9%,49.0%,22.3%,16.9%,12.1%,12.4%,2.7%,"1,657","1,536"
